step,psnr,ssim,lpips
2500,25.404773712158203,0.8912110924720764,0.2411736249923706
5000,27.717233657836914,0.8995365500450134,0.20021118223667145
7500,28.354625701904297,0.9090244174003601,0.17500022053718567
10000,27.545780181884766,0.88753342628479,0.24907098710536957
12500,27.469844818115234,0.8809049129486084,0.2690201699733734
