step,psnr,ssim,lpips
2500,32.603004455566406,0.9109198451042175,0.08372625708580017
5000,32.81920623779297,0.9142342805862427,0.08043527603149414
7500,32.903411865234375,0.9160052537918091,0.07874710857868195
10000,32.98041534423828,0.917331337928772,0.07752496749162674
12500,33.0424690246582,0.9183132648468018,0.07641936093568802
15000,33.11599349975586,0.9191706776618958,0.07562445849180222
17500,33.173683166503906,0.919974148273468,0.07486507296562195
20000,33.220394134521484,0.9206578731536865,0.0742645263671875
22500,32.97447204589844,0.9157161712646484,0.07480786740779877
25000,33.0057258605957,0.9161023497581482,0.07437679171562195
27500,33.03460693359375,0.9166153073310852,0.07406985759735107
30000,33.045230865478516,0.9168909788131714,0.07386203110218048
32500,33.06496810913086,0.9171658754348755,0.07367910444736481
