step,psnr,ssim,lpips
2500,33.25926208496094,0.921137809753418,0.0746278166770935
5000,33.24430847167969,0.9211961030960083,0.07446199655532837
7500,33.258426666259766,0.9217458963394165,0.07381702959537506
10000,33.2966423034668,0.9222245216369629,0.0732993334531784
12500,33.327877044677734,0.9227119088172913,0.07279186695814133
15000,33.34978485107422,0.9230786561965942,0.07223787158727646
17500,33.40562438964844,0.923583447933197,0.07176804542541504
20000,33.427833557128906,0.9240215420722961,0.07132334262132645
22500,33.46640396118164,0.9244810342788696,0.07087202370166779
25000,33.25828552246094,0.9209558963775635,0.07154745608568192
27500,33.23622131347656,0.9204639196395874,0.07130913436412811
30000,33.277618408203125,0.921084463596344,0.07099103927612305
32500,33.298622131347656,0.9212632775306702,0.07079089432954788
35000,33.326637268066406,0.9216102957725525,0.07063308358192444
37500,33.335540771484375,0.9217830896377563,0.07049007713794708
